====================================================================================================
WALLET DATABASE LISTING
====================================================================================================
Total: 213 | Fraud: 113 | Normal: 100 | Other: 0
====================================================================================================

FRAUD WALLETS (113)
----------------------------------------------------------------------------------------------------
0x9a133081b458fa032d1b3b31971c285b84825bb3 | fraud | Risk: 100.00% | VERY HIGH
0xb8f44460dfa4a7f58f0b4010aad9e5d8da9e0e42 | ransomware | Risk: 50.00% | MEDIUM
0xf202a58c9c68f2d99311d50c150fcea21bb9dd85 | ponzi | Risk: 50.00% | MEDIUM
0x96aa0223c6ce4ea2ed90b17fd139def0671ba54f | fraud | Risk: 100.00% | VERY HIGH
0xc0c4ae6e2741f63224c4d288d12973ea0f348375 | fraud | Risk: 100.00% | VERY HIGH
0x07cd8c3093463b1e2342ad4d7d9580c3683b5853 | money laundering | Risk: 60.00% | HIGH
0xe9d03507e387065dbb3d82feea8ceeadee419e6a | ponzi | Risk: 50.00% | MEDIUM
0x2edc106c4ee60a251d6a448cf38d54db0134ae48 | fraud | Risk: 100.00% | VERY HIGH
0x65fe660d5831d2d5d0dc21e4e68bed6cf671d7d6 | fraud | Risk: 100.00% | VERY HIGH
0xf83b1f22cb897d1732d5c7494d42ffb03e69b079 | ponzi | Risk: 50.00% | MEDIUM
0x4784d0042974000d51460acac364e41d3b07e9f9 | money laundering | Risk: 60.00% | HIGH
0x297dfc73412f7701ae4cae173ab9e8de5a109ec6 | ransomware | Risk: 50.00% | MEDIUM
0x7f8f330b84df3c13d2ea25437d0073f14e3bfeea | ransomware | Risk: 50.00% | MEDIUM
0xaf8a0bd47754a2a8c4dfcd5c70fbb3fe0939e11a | ponzi | Risk: 50.00% | MEDIUM
0x5a3b37f4e49eb79634e64504638b9623376c9b20 | ransomware | Risk: 50.00% | MEDIUM
0x8a70dbd9047ace88910ad39fd0bf92f476672d21 | fraud | Risk: 100.00% | VERY HIGH
0xd75a8aafad4e42d7b73a354deee2c7c92760b03d | money laundering | Risk: 60.00% | HIGH
0x59ebcae17d027f5fcb41a51ee0c26a0a99c0cb09 | ponzi | Risk: 50.00% | MEDIUM
0x92c687e2ca5f3c5f204a68bd314dd9d374bc8ec6 | ransomware | Risk: 50.00% | MEDIUM
0x1dda11ddf146f4374722d57ce5c70b597a75cf4c | money laundering | Risk: 60.00% | HIGH
0x0801768fd4d9aeb97baeecedf8cea1c001dd824f | ransomware | Risk: 50.00% | MEDIUM
0x4c1f86d72891a3a45b7f71f129730dd04b8772ca | ransomware | Risk: 50.00% | MEDIUM
0xe8fe7a163eb6421e2315d7b0376c43b564929f2d | ransomware | Risk: 50.00% | MEDIUM
0x2472e031d71262800574478616b9c49de5d5a6df | ransomware | Risk: 50.00% | MEDIUM
0x637bc7ab3680ef9668ab58b7a216844b09b77c90 | money laundering | Risk: 60.00% | HIGH
0x2f24eac0ae2e5ab134a33b27a63beeb934edc458 | ransomware | Risk: 50.00% | MEDIUM
0xee7a2f465bbf05ae98c1b14c9c24d5ffaf9e0942 | ponzi | Risk: 50.00% | MEDIUM
0x2a19a22da69cc768ce690cfd90cbd72644a611e3 | ponzi | Risk: 50.00% | MEDIUM
